student_id	skill_id	correct
1004	0	0
1004	0	0
1004	0	0
1004	0	0
1004	0	0
1004	1	1
1004	0	0
1004	0	0
1004	0	0
1004	0	0
1004	0	0
1002	0	1
1002	1	0
1002	1	0
1002	0	1
1002	1	0
1002	0	1
1002	0	1
1002	0	1
1002	1	0
1000	1	0
1000	0	0
1000	1	0
1000	0	0
1000	1	0
1000	0	0
1000	0	0
1000	1	0
1000	0	0
1000	1	0
1000	0	0
1000	0	0
1000	1	0
1000	0	0
1000	1	0
1000	1	0
1000	1	0
1000	1	0
1001	0	1
1001	0	1
1001	0	1
1001	0	1
1001	0	1
1001	0	1
1001	0	1
1001	0	1
1001	0	1
1001	1	0
1001	0	1
1003	0	1
1003	0	1
1003	0	1
1003	0	1
1003	1	0
1003	1	0
1003	1	0
1003	1	1
1003	1	1
1003	0	0
1003	1	1
1003	0	0
1003	1	1
1003	0	0
1003	0	0
1003	1	1
1003	1	1
1003	1	1
1003	1	1
